enteredby,2023-2024,bill.no,org,support.lvl,sponsor
Ahmed,2023-2024,AB-2243,Calle 24 Latino Cultural District,0,0
Ahmed,2023-2024,AB-2243,Catholic Charities of The Diocese of Stockton,0,0
Ahmed,2023-2024,AB-2243,"Center on Race, Poverty and the Environment",0,0
Ahmed,2023-2024,AB-2243,Circulate San Diego,3,0
Ahmed,2023-2024,AB-2243,City of Beverly Hills,0,0
Ahmed,2023-2024,AB-2243,City of Brentwood,0,0
Ahmed,2023-2024,AB-2243,City of La Habra,0,0
Ahmed,2023-2024,AB-2243,City of Lafayette,0,0
Ahmed,2023-2024,AB-2243,City of Santa Ana,0,0
Ahmed,2023-2024,AB-2243,City of Santa Clarita,0,0
Ahmed,2023-2024,AB-2243,City of Thousand Oaks,0,0
Ahmed,2023-2024,AB-2243,CivicWell,3,0
Ahmed,2023-2024,AB-2243,Climate Equity Policy Center,0,0
Ahmed,2023-2024,AB-2243,Climate Health Now,0,0
Ahmed,2023-2024,AB-2243,Communities for A Better Environment,0,0
Ahmed,2023-2024,AB-2243,Courage California,0,0
Ahmed,2023-2024,AB-2243,Disability Rights California,0,0
Ahmed,2023-2024,AB-2243,East Bay Community Law Center,0,0
Ahmed,2023-2024,AB-2243,Environmental Health Coalition,0,0
Ahmed,2023-2024,AB-2243,First Wednesdays San Leandro,0,0
Ahmed,2023-2024,AB-2243,Fossil Free California,0,0
Ahmed,2023-2024,AB-2243,Fractracker Alliance,0,0
Ahmed,2023-2024,AB-2243,Friends of The Earth,0,0
Ahmed,2023-2024,AB-2243,Generation Housing,3,0
Ahmed,2023-2024,AB-2243,Greenpeace USA,0,0
Ahmed,2023-2024,AB-2243,Habitat for Humanity California,3,0
Ahmed,2023-2024,AB-2243,Housing Action Coalition ,3,1
Ahmed,2023-2024,AB-2243,Housing Equity & Advocacy Resource Team,0,0
Ahmed,2023-2024,AB-2243,Housing Trust Silicon Valley,3,0
Ahmed,2023-2024,AB-2243,Inner City Law Center,3,0
Ahmed,2023-2024,AB-2243,Labor Network for Sustainability,0,0
Ahmed,2023-2024,AB-2243,Labor Rise Climate Jobs Action,0,0
Ahmed,2023-2024,AB-2243,Leadership Counsel for Justice & Accountability,0,0
Ahmed,2023-2024,AB-2243,LeadingAge California,3,0
Ahmed,2023-2024,AB-2243,League of California Cities,0,0
Ahmed,2023-2024,AB-2243,Livable California,0,0
Ahmed,2023-2024,AB-2243,Mercy Housing ,3,0
Ahmed,2023-2024,AB-2243,MidPen Housing Corporation,3,0
Ahmed,2023-2024,AB-2243,MidPen Housing Corporation,3,0
Ahmed,2023-2024,AB-2243,Mission Economic Development Agency,0,0
Ahmed,2023-2024,AB-2243,Mothers Out Front California,0,0
Ahmed,2023-2024,AB-2243,No Coal in Oakland,0,0
Ahmed,2023-2024,AB-2243,People for Housing Orange County,3,0
Ahmed,2023-2024,AB-2243,SPUR,3,0
Ahmed,2023-2024,AB-2243,Stand.earth,0,0
Ahmed,2023-2024,AB-2243,Sunflower Alliance,0,0
Ahmed,2023-2024,AB-2243,T.R.U.S.T. South LA,0,0
Ahmed,2023-2024,AB-2243,"Tri-valley Cities of Dublin, Livermore, Pleasanton, San Ramon, and Town of Danville",0,0
Ahmed,2023-2024,AB-2243,Young Community Developers,0,0
Ahmed,2023-2024,AB-2597,Association of Bay Area Governments,3,0
Ahmed,2023-2024,AB-2597,California Contract Cities Association,3,0
Ahmed,2023-2024,AB-2597,California State Association of Counties,3,0
Ahmed,2023-2024,AB-2597,City of Santa Ana,3,0
Ahmed,2023-2024,AB-2597,City of Simi Valley,3,0
Ahmed,2023-2024,AB-2597,City of Thousand Oaks,3,0
Ahmed,2023-2024,AB-2597,County of Los Angeles,3,0
Ahmed,2023-2024,AB-2597,League of California Cities,3,0
Ahmed,2023-2024,AB-2597,Livable California,3,0
Ahmed,2023-2024,AB-2597,Madera County Transportation Commission,3,0
Ahmed,2023-2024,AB-2597,Marin County Council of Mayors and Council Members,3,0
Ahmed,2023-2024,AB-2597,Metropolitan Transportation Commission,3,0
Ahmed,2023-2024,AB-2597,Mission Street Neighbors,3,0
Ahmed,2023-2024,AB-2597,South Pasadena Residents for Responsible Growth,0,0
Ahmed,2023-2024,AB-2597,Southern California Association of Governments,3,1
Ahmed,2023-2024,AB-3035,California League of United Latin American Citizens,3,0
Ahmed,2023-2024,AB-3035,California Primary Care Association Advocates,3,0
Ahmed,2023-2024,AB-3035,City of Morgan Hill,3,0
Ahmed,2023-2024,AB-3035,"Community Agency for Resources, Advocacy and Services",3,0
Ahmed,2023-2024,AB-3035,County of Santa Clara,3,1
Ahmed,2023-2024,AB-3035,Farmworker Caravan,3,0
Ahmed,2023-2024,AB-3035,Latina Coalition of Silicon Valley,3,0
Ahmed,2023-2024,AB-548,California Association of Realtors,0,0
Ahmed,2023-2024,AB-548,California Rural Legal Assistance Foundation,3,0
Ahmed,2023-2024,AB-548,Coalition for Economic Survival,3,0
Ahmed,2023-2024,AB-548,Community Action to Fight Asthma,3,0
Ahmed,2023-2024,AB-548,Healing and Justice Center,3,0
Ahmed,2023-2024,AB-548,Human Impact Partners,3,0
Ahmed,2023-2024,AB-548,Law Foundation of Silicon Valley,3,0
Ahmed,2023-2024,AB-653,Alliance of Californians for Community Empowerment,3,0
Ahmed,2023-2024,AB-653,California Apartment Association,3,0
Ahmed,2023-2024,AB-653,California Association of Housing Authorities,0,0
Ahmed,2023-2024,AB-653,California Rural Legal Assistance Foundation,3,1
Ahmed,2023-2024,AB-653,California State Association of Counties,3,0
Ahmed,2023-2024,AB-653,City of Pasadena,0,0
Ahmed,2023-2024,AB-653,Corporation for Supportive Housing ,3,1
Ahmed,2023-2024,AB-653,Disability Rights California,3,0
Ahmed,2023-2024,AB-653,East Bay Housing Organizations,3,0
Ahmed,2023-2024,AB-653,Housing Authority of The County of San Bernardino,0,0
Ahmed,2023-2024,AB-653,Housing Authority of The County of Santa Cruz,0,0
Ahmed,2023-2024,AB-653,Housing California,3,1
Ahmed,2023-2024,AB-653,Livable California,3,0
Ahmed,2023-2024,AB-653,National Housing Law Project ,3,1
Ahmed,2023-2024,AB-653,Non-Profit Housing Association of Northern California ,3,1
Ahmed,2023-2024,AB-653,Sonoma County Housing Authority,0,0
Ahmed,2023-2024,AB1490,City of Manhattan Beach,0,0
Ahmed,2023-2024,AB1490,Napa-Solano for Everyone,3,0
Ahmed,2023-2024,AB1490,Progress Noe Valley,3,0
Ahmed,2023-2024,AB1490,San Francisco YIMBY,3,0
Ahmed,2023-2024,AB1490,Santa Cruz YIMBY,3,0
Ahmed,2023-2024,AB1490,Urban Environmentalists,3,0
Ahmed,2023-2024,AB1490,Ventura County YIMBY,3,0
Ahmed,2023-2024,AB1490,YIMBY Action,3,0
Ahmed,2023-2024,AB1635,San Diego Housing Commission,3,0
Ahmed,2023-2024,AB1635,San Diego Regional Chamber of Commerce,3,0
Ahmed,2023-2024,AB2243,Black Women for Wellness Action Project,0,0
Ahmed,2023-2024,AB2243,Center for Biological Diversity,0,0
Ahmed,2023-2024,AB2243,Center for Community Action and Environmental Justice,0,0
Ahmed,2023-2024,AB2243,Central Valley Air Quality Coalition,0,0
Ahmed,2023-2024,AB2243,City of Newport Beach,0,0
Ahmed,2023-2024,AB2243,Esperanza Community Housing Corporation,0,0
Ahmed,2023-2024,AB2243,"Fieldstead and Company, INC.",3,0
Ahmed,2023-2024,AB2243,Physicians for Social Responsibility - Los Angeles,0,0
Ahmed,2023-2024,AB2243,Physicians for Social Responsibility - Sacramento Chapter,0,0
Ahmed,2023-2024,AB2243,Physicians for Social Responsibility - San Francisco Bay Area Chapter,0,0
Ahmed,2023-2024,AB2243,Poder,0,0
Ahmed,2023-2024,AB2243,Sacred Heart Community Service,0,0
Ahmed,2023-2024,AB2243,San Francisco Bay Area Physicians for Social Responsibility,0,0
Ahmed,2023-2024,AB2243,San Francisco Latino Task Force,0,0
Ahmed,2023-2024,AB2243,San Francisco Physicians for Social Responsibility,0,0
Ahmed,2023-2024,AB2243,Sand Hill Property Company,3,0
Ahmed,2023-2024,AB2243,The Two Hundred Homeownership,3,0
Ahmed,2023-2024,AB2243,Trust South LA,0,0
Ahmed,2023-2024,AB2243,United to Save the Mission,0,0
Ahmed,2023-2024,AB2243,Voting 4 Climate & Health,0,0
Ahmed,2023-2024,AB2243,Western States Regional Council of Carpenters,3,0
Ahmed,2023-2024,AB2243,YIMBY Action,3,0
Ahmed,2023-2024,AB2597,City of Cerritos,3,0
Ahmed,2023-2024,AB3035,The Salvador E. Alvarez Institute for Non-Violence,3,0
Ahmed,2023-2024,AB3035,University of California Cooperative Extension,3,0
Ahmed,2023-2024,AB548,Children Now,3,0
Ahmed,2023-2024,AB548,Regional Asthma Managament and Prevention,3,1
Ahmed,2023-2024,AB548,Western Center on Law and Poverty,3,0
Ahmed,2023-2024,AB653,Public Advocates,3,0
Ahmed,2023-2024,AB653,Residents United Network of Housing California,3,0
Ahmed,2023-2024,AB653,Santa Clara County Housing Authority,0,0
Ahmed,2023-2024,AB653,Union Station Homeless Services,3,0
Ahmed,2023-2024,AB653,United Way of Greater Los Angeles,3,0
Ahmed,2023-2024,AB653,United Ways of California,3,0
Ahmed,2023-2024,AB653,Western Center on Law and Poverty,3,1
Ahmed,2023-2024,ACA-1,AARP California,3,0
Ahmed,2023-2024,ACA-1,Abode Communities,3,0
Ahmed,2023-2024,ACA-1,Abundant Housing LA,3,0
Ahmed,2023-2024,ACA-1,Affirmed Housing,3,0
Ahmed,2023-2024,ACA-1,Affordable Housing Management Association-Pacific Southwest,0,0
Ahmed,2023-2024,ACA-1,AFSCME,3,0
Ahmed,2023-2024,ACA-1,AIDS Healthcare Foundation,3,0
Ahmed,2023-2024,ACA-1,Alameda County Taxpayers Association,0,0
Ahmed,2023-2024,ACA-1,All Home,3,0
Ahmed,2023-2024,ACA-1,Alta Housing,3,0
Ahmed,2023-2024,ACA-1,"American Council of Engineering Companies, California",3,0
Ahmed,2023-2024,ACA-1,"American Planning Association, California Chapter",3,0
Ahmed,2023-2024,ACA-1,American Society of Civil Engineers,3,0
Ahmed,2023-2024,ACA-1,Apartment Association of Greater Los Angeles,0,0
Ahmed,2023-2024,ACA-1,Apartment Association of Orange County,0,0
Ahmed,2023-2024,ACA-1,"Apartment Owners Association of America, California",0,0
Ahmed,2023-2024,ACA-1,Associated General Contractors of California,3,0
Ahmed,2023-2024,ACA-1,Association of Bay Area Governments,3,0
Ahmed,2023-2024,ACA-1,Brilliant Corners,3,0
Ahmed,2023-2024,ACA-1,Building Owners and Managers Association,0,0
Ahmed,2023-2024,ACA-1,California Alliance for Jobs,3,0
Ahmed,2023-2024,ACA-1,California Asphalt Pavement Association,3,0
Ahmed,2023-2024,ACA-1,California Association of Local Housing Finance Agencies,3,0
Ahmed,2023-2024,ACA-1,California Association of Realtors,0,0
Ahmed,2023-2024,ACA-1,California Association of Recreation and Park Districts,3,0
Ahmed,2023-2024,ACA-1,California Association of Resource Conservation Districts,3,0
Ahmed,2023-2024,ACA-1,California Attractions and Parks Association,0,0
Ahmed,2023-2024,ACA-1,California Business Properties Association,0,0
Ahmed,2023-2024,ACA-1,California Cattlemen’s Association,0,0
Ahmed,2023-2024,ACA-1,California Chamber of Commerce,0,0
Ahmed,2023-2024,ACA-1,California Conference of Carpenters,3,0
Ahmed,2023-2024,ACA-1,California Construction and Industrial Materials Association,3,0
Ahmed,2023-2024,ACA-1,California Democratic Party,3,0
Ahmed,2023-2024,ACA-1,California Fire Chiefs Association,3,0
Ahmed,2023-2024,ACA-1,California Housing Consortium,3,0
Ahmed,2023-2024,ACA-1,California Housing Partnership,3,0
Ahmed,2023-2024,ACA-1,California IATSE Council,3,0
Ahmed,2023-2024,ACA-1,California Independent Petroleum Association,0,0
Ahmed,2023-2024,ACA-1,"California Labor Federation, AFL-CIO",3,0
Ahmed,2023-2024,ACA-1,California Land Title Association,0,0
Ahmed,2023-2024,ACA-1,California Library Association,3,0
Ahmed,2023-2024,ACA-1,California Manufacturers and Technology Association,0,0
Ahmed,2023-2024,ACA-1,California Professional Firefighters,3,1
Ahmed,2023-2024,ACA-1,California Railroads,0,0
Ahmed,2023-2024,ACA-1,California Rental Housing Association,0,0
Ahmed,2023-2024,ACA-1,California Retailers Association,0,0
Ahmed,2023-2024,ACA-1,California School Employees Association,3,0
Ahmed,2023-2024,ACA-1,California Self Storage Association,0,0
Ahmed,2023-2024,ACA-1,California Special Districts Association,3,0
Ahmed,2023-2024,ACA-1,California State Association of Counties,3,0
Ahmed,2023-2024,ACA-1,California State Association of Electrical Workers,3,0
Ahmed,2023-2024,ACA-1,California State Building and Construction Trades Council,3,1
Ahmed,2023-2024,ACA-1,California State Council of Laborers,3,0
Ahmed,2023-2024,ACA-1,California Stormwater Quality Association,3,0
Ahmed,2023-2024,ACA-1,California Taxpayer Protection Committee,0,0
Ahmed,2023-2024,ACA-1,California Taxpayers Association,0,0
Ahmed,2023-2024,ACA-1,California Transit Association,3,0
Ahmed,2023-2024,ACA-1,California YIMBY,3,0
Ahmed,2023-2024,ACA-1,Canal Alliance,3,0
Ahmed,2023-2024,ACA-1,Catalysts for Local Control,0,0
Ahmed,2023-2024,ACA-1,Central Coast Taxpayers Association,0,0
Ahmed,2023-2024,ACA-1,Central Valley Taxpayers Association,0,0
Ahmed,2023-2024,ACA-1,Circulate San Diego,3,0
Ahmed,2023-2024,ACA-1,City and County of San Francisco,3,0
Ahmed,2023-2024,ACA-1,City of Alameda,3,0
Ahmed,2023-2024,ACA-1,City of Belmont,3,0
Ahmed,2023-2024,ACA-1,City of Emeryville,3,0
Ahmed,2023-2024,ACA-1,City of Fremont,3,0
Ahmed,2023-2024,ACA-1,City of Glendale,3,0
Ahmed,2023-2024,ACA-1,City of Half Moon Bay,3,0
Ahmed,2023-2024,ACA-1,City of Hayward,3,0
Ahmed,2023-2024,ACA-1,City of Kingsburg,3,0
Ahmed,2023-2024,ACA-1,City of Long Beach,3,0
Ahmed,2023-2024,ACA-1,City of Oakland,3,0
Ahmed,2023-2024,ACA-1,City of Palo Alto,3,0
Ahmed,2023-2024,ACA-1,City of Petaluma,3,0
Ahmed,2023-2024,ACA-1,City of Redwood City,3,0
Ahmed,2023-2024,ACA-1,City of San Diego,3,0
Ahmed,2023-2024,ACA-1,City of San Luis Obispo,3,0
Ahmed,2023-2024,ACA-1,City of Santa Monica,3,0
Ahmed,2023-2024,ACA-1,City of Santa Rosa,3,0
Ahmed,2023-2024,ACA-1,City of Soledad,3,0
Ahmed,2023-2024,ACA-1,City of Tulare,3,0
Ahmed,2023-2024,ACA-1,City of Walnut Creek,3,0
Ahmed,2023-2024,ACA-1,City of West Hollywood,3,0
Ahmed,2023-2024,ACA-1,City of West Sacramento,3,0
Ahmed,2023-2024,ACA-1,City of Winters,3,0
Ahmed,2023-2024,ACA-1,CivicWell,3,0
Ahmed,2023-2024,ACA-1,"Coalition of Labor, Agriculture, and Business, Santa Barbara County",0,0
Ahmed,2023-2024,ACA-1,Coalition of Sensible Taxpayers,0,0
Ahmed,2023-2024,ACA-1,College Democrats of Sacramento State University,3,0
Ahmed,2023-2024,ACA-1,Contra Costa Taxpayers Association,0,0
Ahmed,2023-2024,ACA-1,Council of Community Housing Organizations,3,0
Ahmed,2023-2024,ACA-1,County of Marin,3,0
Ahmed,2023-2024,ACA-1,County of Mono,3,0
Ahmed,2023-2024,ACA-1,County of Santa Clara,3,0
Ahmed,2023-2024,ACA-1,County of Yolo,3,0
Ahmed,2023-2024,ACA-1,Desert Recreation District,3,0
Ahmed,2023-2024,ACA-1,Destination: Home,3,0
Ahmed,2023-2024,ACA-1,"Devine and Gong, INC.",3,0
Ahmed,2023-2024,ACA-1,District Hospital Leadership Forum,3,0
Ahmed,2023-2024,ACA-1,EAH Housing,3,0
Ahmed,2023-2024,ACA-1,East Bay for Everyone,3,0
Ahmed,2023-2024,ACA-1,East Bay Housing Associations,3,0
Ahmed,2023-2024,ACA-1,East Bay Municipal Utility District,3,0
Ahmed,2023-2024,ACA-1,East Bay Rental Housing Association,0,0
Ahmed,2023-2024,ACA-1,East Bay YIMBY,3,0
Ahmed,2023-2024,ACA-1,Eden Housing,3,0
Ahmed,2023-2024,ACA-1,"Enterprise Community Partners, INC.",3,0
Ahmed,2023-2024,ACA-1,Escrow Institute of California,0,0
Ahmed,2023-2024,ACA-1,Evolve California,3,0
Ahmed,2023-2024,ACA-1,Family Business Association of California,0,0
Ahmed,2023-2024,ACA-1,Fire Districts Association of California,3,0
Ahmed,2023-2024,ACA-1,Generation Housing,3,0
Ahmed,2023-2024,ACA-1,Glendora Chamber of Commerce,0,0
Ahmed,2023-2024,ACA-1,Greater San Fernando Valley Chamber of Commerce,0,0
Ahmed,2023-2024,ACA-1,Grow the Richmond,3,0
Ahmed,2023-2024,ACA-1,Habitat for Humanity California,3,0
Ahmed,2023-2024,ACA-1,Housing Crisis Action,3,0
Ahmed,2023-2024,ACA-1,Housing Leadership Council of San Mateo County,3,0
Ahmed,2023-2024,ACA-1,Housing Trust Silicon Valley,3,0
Ahmed,2023-2024,ACA-1,How to ADU,3,0
Ahmed,2023-2024,ACA-1,Howard Jarvis Tax Payers Association,0,0
Ahmed,2023-2024,ACA-1,"International Union of Operating Engineers, Cal-Nevada Conference",3,0
Ahmed,2023-2024,ACA-1,Kern County Taxpayers Association,0,0
Ahmed,2023-2024,ACA-1,Laguna Niguel Chamber of Commerce,0,0
Ahmed,2023-2024,ACA-1,League of California Cities,3,0
Ahmed,2023-2024,ACA-1,League of Women Voters of California,3,0
Ahmed,2023-2024,ACA-1,Local Initiatives Support Corporation Bay Area,3,0
Ahmed,2023-2024,ACA-1,Mercy Housing ,3,0
Ahmed,2023-2024,ACA-1,Metropolitan Transportation Commission,3,0
Ahmed,2023-2024,ACA-1,MidPen Housing Corporation,3,0
Ahmed,2023-2024,ACA-1,Midpeninsula Regional Open Space District,3,0
Ahmed,2023-2024,ACA-1,Mission Housing Development Corporation,3,0
Ahmed,2023-2024,ACA-1,Santa Rosa YIMBY,3,0
Ahmed,2023-2024,ACA-1,Save the Bay,3,0
Ahmed,2023-2024,ACA-1,Seifel Consulting Inc.,3,0
Ahmed,2023-2024,ACA-1,Sierra Business Council,3,0
Ahmed,2023-2024,ACA-1,SLO County YIMBY,3,0
Ahmed,2023-2024,ACA-1,Solano Transportation Authority,3,0
Ahmed,2023-2024,ACA-1,Sonoma County Area Agency on Aging,3,0
Ahmed,2023-2024,ACA-1,South Bay YIMBY,3,0
Ahmed,2023-2024,ACA-1,South Side Forward,3,0
Ahmed,2023-2024,ACA-1,Southern California Contractors Association,3,0
Ahmed,2023-2024,ACA-1,St. Mary’s Center,3,0
Ahmed,2023-2024,ACA-1,State Building and Construction Trades Council of California,3,0
Ahmed,2023-2024,ACA-1,Streets for People,3,0
Ahmed,2023-2024,ACA-1,SV@Home,3,0
Ahmed,2023-2024,ACA-1,Tenderloin Neighborhood Development Corporation,3,0
Ahmed,2023-2024,ACA-1,"Tri-Valley Cities of Dublin, Livermore, Pleasanton, San Ramon, and the Town of Danville",3,0
Ahmed,2023-2024,ACA1,Monterey Bay Economic Partnership,3,0
Ahmed,2023-2024,ACA1,Mountain View YIMBY,3,0
Ahmed,2023-2024,ACA1,Move LA,3,0
Ahmed,2023-2024,ACA1,Mutual Housing California,3,0
Ahmed,2023-2024,ACA1,NAIOP,0,0
Ahmed,2023-2024,ACA1,Napa-Solano for Everyone,3,0
Ahmed,2023-2024,ACA1,National Federation of Independent Business,0,0
Ahmed,2023-2024,ACA1,Non-Profit Housing Association of Northern California,3,0
Ahmed,2023-2024,ACA1,Nor Cal Carpenters Union,3,0
Ahmed,2023-2024,ACA1,North Bay Leadership Council,3,0
Ahmed,2023-2024,ACA1,Northern Neighbors,3,0
Ahmed,2023-2024,ACA1,Old Valley Homes and Loans,3,0
Ahmed,2023-2024,ACA1,Orange County Business Council,0,0
Ahmed,2023-2024,ACA1,Orange County Taxpayers Association,0,0
Ahmed,2023-2024,ACA1,Peninsula Corridor Joint Powers Board,3,0
Ahmed,2023-2024,ACA1,Peninsula for Everyone,3,0
Ahmed,2023-2024,ACA1,People Assisting the Homeless,3,0
Ahmed,2023-2024,ACA1,People for Housing Orange County,3,0
Ahmed,2023-2024,ACA1,Placer County Taxpayers Association,0,0
Ahmed,2023-2024,ACA1,Professional Engineers in California Government,3,0
Ahmed,2023-2024,ACA1,Progress Noe Valley,3,0
Ahmed,2023-2024,ACA1,Public Policy Advocates,3,0
Ahmed,2023-2024,ACA1,Rebuild SoCal Partnership,3,0
Ahmed,2023-2024,ACA1,Regional Asthma Management and Prevention,3,0
Ahmed,2023-2024,ACA1,Resources for Community Development,3,0
Ahmed,2023-2024,ACA1,Rural County Representatives of California,3,0
Ahmed,2023-2024,ACA1,San Diego Tax Fighters,0,0
Ahmed,2023-2024,ACA1,San Francisco Bay Area Planning and Urban Research Association,3,0
Ahmed,2023-2024,ACA1,San Francisco Foundation,3,0
Ahmed,2023-2024,ACA1,San Francisco Housing Accelerator Fund,3,0
Ahmed,2023-2024,ACA1,San Francisco Housing Development Corporation,3,0
Ahmed,2023-2024,ACA1,San Francisco YIMBY,3,0
Ahmed,2023-2024,ACA1,San Gabriel Valley Economic Partnership,0,0
Ahmed,2023-2024,ACA1,San Joaquin Valley Housing Collaborative,3,0
Ahmed,2023-2024,ACA1,SLO County YIMBY,3,0
Ahmed,2023-2024,ACA1,San Mateo County Transit District,3,0
Ahmed,2023-2024,ACA1,San Ramon Valley Fire Protection District,3,0
Ahmed,2023-2024,ACA1,Santa Clara Valley Water District,3,0
Ahmed,2023-2024,ACA1,Santa Cruz YIMBY,3,0
Ahmed,2023-2024,ACA1,Transportation California,3,0
Ahmed,2023-2024,ACA1,United Contractors,3,0
Ahmed,2023-2024,ACA1,United Way Bay Area,3,0
Ahmed,2023-2024,ACA1,Urban Counties of California,3,0
Ahmed,2023-2024,ACA1,Urban Environmentalists,3,0
Ahmed,2023-2024,ACA1,Valley Water,3,0
Ahmed,2023-2024,ACA1,Ventura County YIMBY,3,0
Ahmed,2023-2024,ACA1,Washington Hospital Healthcare System,3,0
Ahmed,2023-2024,ACA1,Western Center on Law and Poverty,3,0
Ahmed,2023-2024,ACA1,Western Regional Association for Pavement Preservation,3,0
Ahmed,2023-2024,ACA1,YIMBY Action,3,0
Ahmed,2023-2024,SB-0312,Ingevity,3,0
Ahmed,2023-2024,SB-1007,California Housing Partnership ,3,0
Ahmed,2023-2024,SB-1007,California Organizations for Reparations Coalition,3,0
Ahmed,2023-2024,SB-1190,California Solar & Storage Association,3,0
Ahmed,2023-2024,SB-1190,"Golden State Manufactured Home Owners League, INC.",3,1
Ahmed,2023-2024,SB-1527,California Housing Partnership ,3,1
Ahmed,2023-2024,SB-1527,Dry Creek Rancheria Band of Pomo Indians,3,0
Ahmed,2023-2024,SB-1527,State Board of Equalization,3,1
Ahmed,2023-2024,SB-312,Alameda County Democratic Central Committee,3,0
Ahmed,2023-2024,SB-312,California Competes: Higher Education for A Strong Economy,3,0
Ahmed,2023-2024,SB-312,California State University Employees Union,3,0
Ahmed,2023-2024,SB-312,California YIMBY,3,0
Ahmed,2023-2024,SB-312,"Center on Race, Poverty, and the Environment",0,0
Ahmed,2023-2024,SB-312,Communities for A Better Environment,0,0
Ahmed,2023-2024,SB-312,Endangered Habitats League,0,0
Ahmed,2023-2024,SB-312,Generation Up ,3,0
Ahmed,2023-2024,SB-312,Housing Action Coalition,3,0
Ahmed,2023-2024,SB-312,Student Homes Coalition,3,0
Ahmed,2023-2024,SB-423, City of Menlo Park,3,0
Ahmed,2023-2024,SB-423,21st Century Alliance,3,0
Ahmed,2023-2024,SB-423,AARP California,3,0
Ahmed,2023-2024,SB-423,Abundant Housing LA,3,0
Ahmed,2023-2024,SB-423,Active San Gabriel Valley,3,0
Ahmed,2023-2024,SB-423,Affirmed Housing,3,0
Ahmed,2023-2024,SB-423,All Home,3,0
Ahmed,2023-2024,SB-423,AMCAL,3,0
Ahmed,2023-2024,SB-423,Association of California Cities - Orange County,0,0
Ahmed,2023-2024,SB-423,Bay Area Council,3,0
Ahmed,2023-2024,SB-423,Bricklayers and Allied Crafts Local 3,0,0
Ahmed,2023-2024,SB-423,"Building and Construction Trades Council of Stanislaus, Merced, Tuolumne and Mariposa Counties",0,0
Ahmed,2023-2024,SB-423,California Apartment Association,3,0
Ahmed,2023-2024,SB-423,California Association of Local Housing Finance Agencies,3,0
Ahmed,2023-2024,SB-423,California Cities for Local Control,0,0
Ahmed,2023-2024,SB-423,California Community Builders,3,0
Ahmed,2023-2024,SB-423,California Community Economic Development Association,3,0
Ahmed,2023-2024,SB-423,California Conference of Carpenters,3,1
Ahmed,2023-2024,SB-423,California Contract Cities Association,0,0
Ahmed,2023-2024,SB-423,California Home Builders Alliance,3,0
